name,prompt,negative_prompt
真人脸预设,"(RAW photo, best quality), (realistic, photo-realistic:1.3), masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity , 2k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity 8k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, (((medium hair:1.3), short bang, pink hair, floating hair novafrogstyle)), beautiful detailed girl, detailed fingers, extremely detailed eyes and face, beautiful detailed nose,  beautiful detailed eyes, long eyelashes, light on face, looking at viewer, (closed mouth:1.2), 1girl, cute, young, mature face, (full body:1.3), ((small breasts)), realistic face, realistic body, beautiful detailed thigh, (ulzzang-6500-v1.1:0.8),","nsfw, (EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digi"
真人模特的起手,"best quality, masterpiece, (realistic, photo-realistic:1.37),ultra high res,highres,, illustration. media, delicate,8k wallpaper,soft light,official art,professional lighting, photon mapping, radiosity, physically-based rendering,1girl,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes), EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
模特穿衣 起手式,"full body, standing, detailed skin texture, detailed cloth texture, beautiful detailed face, detailed background,beautiful detailed face, masterpiece, best quality, ultra detailed, 8k,light smile, intricate details, White skin,film grain, looking at viewer, 1girl,(nude:1.2),(Long black hair:1.3), hairpin, (White background:1.1),white stockings,  <lora:GirlfriendMix_v1_v20:0.5>,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
真人负面关键词 ,,"(((blur))),(EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs"
真人转动漫（偏向2.5D）起手,"masterpiece, best quality, animegao, illustration, <lora:fashionGirl_v54:0.3>,","(EasyNegative:1.2),NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, normal quality, jpeg artifacts, (signature, watermark, username:1.4), "
动漫转真人起手预设,"(masterpiece, best quality,high quality,White skin,Beautiful detailed face), <lora:hipoly3DModelLora_v10:0.45>,(realistic:1.2),","(((blur))),(EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs"
动漫杂志封面起手 ,"(magazine cover:1.4),1girl,solo,extremely detailed CG unity 8k wallpaper,illustration,lens 135mm,masterpiece, best quality,young girl,naughty face,(white background:1.5),","(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),"
不包含人的负面关键词,,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal qualit, jpeg artifacts, signature, watermark, usemame, blury,"
二次元画质更好起手式,"masterpiece,bestquality,highlydetailed,ultra-detailed,extremely detailed CG unity 8k wallpaper, illustration, lens 135mm,1girl,","(EasyNegative:1.2),badhandv4,NSFW, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,"
半身换装模特预设,"raw photo,(best quality:1.1),(photorealistic:1.1),simple background,(grey background:1.2),1girl,solo,thin female,(half body:1.2),medium shot,high detail face,smile,white light,create a polished look,completely nude,","nsfw,paintings, sketches, (worst quality:2), (low quality:2), (normal quality:1.5), lowres, normal quality, ((monochrome)), ((grayscale)),((door))"
国风融化1,"Double Exposure Style, Volumetric Lighting, a girl with Wrap top,arching her back,Traditional Attire,Artistic Calligraphy and Ink,, light depth, dramatic atmospheric lighting, Volumetric Lighting, double image ghost effect, image combination, double exposure style
Negative prompt: ugly, deformed, noisy, blurry, low contrast, ugly, deformed, noisy, blurry, low contrast
Steps: 30, CDT: ""1.5,3.2,0,0,0,0,0,0,0,3.2,1,-1,10"", Size: 768x1152, Seed: -1, Model: ronghua_v20, Version: v1.6.0-RC-47-gae7291fb4, Sampler: DPM++ 2S a, CFG scale: 4.5, Model hash: 01e01ebb1d, Hires prompt: ""a girl with __WC-SDVN/Wear/sexywear__,__1000wildcards/Pose__,Traditional Attire,Artistic Calligraphy and Ink,"", Hires upscale: 1.5, Hires upscaler: 4x-UltraSharp, Denoising strength: 0.28, SGM noise multiplier: True
",
国风融化2,"Double Exposure Style, Volumetric Lighting, Outlast style,a girl with Tulle skirt,leaning forward,Traditional Attire,Artistic Calligraphy and Ink,Faceless Butcher, light depth, dramatic atmospheric lighting, Volumetric Lighting, double image ghost effect, image combination, double exposure style
Negative prompt: ugly, deformed, noisy, blurry, low contrast, ugly, deformed, noisy, blurry, low contrast
Steps: 30, CDT: ""1.5,3.2,0,0,0,0,0,0,0,3.2,1,-1,10"", Size: 720x1280, Seed: -1, Model: ronghua_v20, Version: v1.6.0, Sampler: DPM++ 2S a, CFG scale: 4.5, Model hash: 01e01ebb1d, Hires prompt: ""__WC-SDVN/2000Wildcards/game_horror__ style,a girl with __WC-SDVN/Wear/sexywear__,__1000wildcards/Pose__,Traditional Attire,Artistic Calligraphy and Ink,__WC-SDVN/2000Wildcards/nightmare_horror__"", Hires upscale: 1.5, Hires upscaler: 4x-UltraSharp, Denoising strength: 0.28, SGM noise multiplier: True
",
国风融化3,"ink wash painting of a girl . monochromatic, loose, fluid, expressive, delicate,colorful
Negative prompt: tight
Steps: 30, Size: 720x1280, Seed: -1, Model: ronghua_v20, Version: v1.5.2, Sampler: DPM++ 2S a, CFG scale: 4.5, Clip skip: 2, Model hash: 01e01ebb1d, Hires prompt: a girl, Hires upscale: 1.5, Hires upscaler: 4x-UltraSharp, ADetailer model: face_yolov8n.pt, ADetailer version: 23.8.1, Denoising strength: 0.35, ADetailer mask blur: 4, ADetailer confidence: 0.3, ADetailer dilate/erode: 32, ADetailer inpaint width: 1020, ADetailer inpaint height: 1024, ADetailer inpaint padding: 32, ADetailer denoising strength: 0.3, ADetailer inpaint only masked: True, ADetailer use inpaint width/height: True
",
国风融化4,"Double Exposure Style, Volumetric Lighting, a girl Wrap top, light depth, dramatic atmospheric lighting, Volumetric Lighting, double image ghost effect, image combination, double exposure style
Negative prompt: ugly, deformed, noisy, blurry, low contrast, ugly, deformed, noisy, blurry, low contrast
Steps: 30, CDT: ""1.5,3.2,0,0,0,0,0,0,0,3.2,1,-1,10"", Size: 720x1280, Seed: -1, Model: ronghua_v20, Version: v1.5.2, Sampler: DPM++ 2S a, CFG scale: 4.5, Model hash: 01e01ebb1d, Hires prompt: a girl __WC-SDVN/Wear/sexywear__, Hires upscale: 1.5, Hires upscaler: 4x-UltraSharp, Denoising strength: 0.35
",
凤凰女侠客,"Symmetrical art
Double Exposure Style, Volumetric Lighting, leaning forward,light depth, dramatic atmospheric lighting, Volumetric Lighting, double image ghost effect, image combination, double exposure style
(realistic, photorealistic),
A girl is among the flowers in the sunset. 
orange phoenix in the sky.
(orange:1.2)<lora:add-detail-xl:0.6>
Negative prompt: (worst quality, low quality:1.4), (fuze:1.4), (worst quality:1.1), (low quality:1.4:1.1), lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurrypolar,bad body,bad proportions,gross proportions,text,error,missing fingers, missing arms,missing legs, extra digit, extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands, cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality, normal quality, blurry,ugly,duplicate,morbid,mutilated,out of frame, body out of frame,, (worst quality, low quality:1.4), (fuze:1.4), (worst quality:1.1), (low quality:1.4:1.1), lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurrypolar,bad body,bad proportions,gross proportions,text,error,missing fingers, missing arms,missing legs, extra digit, extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands, cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality, normal quality, blurry,ugly,duplicate,morbid,mutilated,out of frame, body out of frame,extra hands, liquid hand, inverted hand, bad and mutated hands, extra fingers,
imperfect hands, painting, sketch, concept art, cross-eyed,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, skin spots, acnes, skin blemishes, bad anatomy, DeepNegative, facing away, tilted head, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worstquality, low quality, normal quality, jpegartifacts, signature, watermark, username, blurry, bad feet, cropped, poorly drawn hands, poorly drawn face, mutation, deformed, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, extra fingers, fewer digits, extra limbs, extra arms,extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed,mutated hands, polar lowres, bad body, bad proportions, gross proportions, text, error, missing fingers, missing arms, missing legs, extra digit, extra arms, extra leg, extra foot, (repeating hair)
Steps: 20, Size: 720x1280, Seed: -1, Model: SDXLRonghua_v20, ""Module: ip-adapter_clip_sdxl, anxiang: 0.4>, Sampler: DPM++ 2M Karras, CFG scale: 4, Model hash: 01e01ebb1d, zhongfenghua: 0.15>"", ADetailer model: face_yolov8s.pt, ADetailer steps: 30, ADetailer version: 23.9.3, Denoising strength: 0.3, ADetailer CFG scale: 7.0, ADetailer mask blur: 4, ADetailer checkpoint: 703majic.fp16.safetensors, ADetailer confidence: 0.5, ADetailer dilate/erode: 4, ADetailer inpaint padding: 32, ADetailer denoising strength: 0.35, ADetailer use separate steps: True, ADetailer inpaint only masked: True, ADetailer use separate CFG scale: True, ADetailer use separate checkpoint: True",
凤凰女侠,"Symmetrical art
Double Exposure Style, Volumetric Lighting, leaning forward,light depth, dramatic atmospheric lighting, Volumetric Lighting, double image ghost effect, image combination, double exposure style
(realistic, photorealistic),
A girl is among the flowers in the sunset. 
orange phoenix in the sky.
(orange:1.2)<lora:add-detail-xl:0.6>
Negative prompt: (worst quality, low quality:1.4), (fuze:1.4), (worst quality:1.1), (low quality:1.4:1.1), lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurrypolar,bad body,bad proportions,gross proportions,text,error,missing fingers, missing arms,missing legs, extra digit, extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands, cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality, normal quality, blurry,ugly,duplicate,morbid,mutilated,out of frame, body out of frame,, (worst quality, low quality:1.4), (fuze:1.4), (worst quality:1.1), (low quality:1.4:1.1), lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurrypolar,bad body,bad proportions,gross proportions,text,error,missing fingers, missing arms,missing legs, extra digit, extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands, cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality, normal quality, blurry,ugly,duplicate,morbid,mutilated,out of frame, body out of frame,extra hands, liquid hand, inverted hand, bad and mutated hands, extra fingers,
imperfect hands, painting, sketch, concept art, cross-eyed,sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, skin spots, acnes, skin blemishes, bad anatomy, DeepNegative, facing away, tilted head, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worstquality, low quality, normal quality, jpegartifacts, signature, watermark, username, blurry, bad feet, cropped, poorly drawn hands, poorly drawn face, mutation, deformed, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, extra fingers, fewer digits, extra limbs, extra arms,extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed,mutated hands, polar lowres, bad body, bad proportions, gross proportions, text, error, missing fingers, missing arms, missing legs, extra digit, extra arms, extra leg, extra foot, (repeating hair)
Steps: 30, Size: 720x1280, Seed: -1, Model: SDXLRonghua_v20, ""Module: ip-adapter_clip_sdxl, anxiang: 0.4>, Sampler: DPM++ 2M Karras, CFG scale: 4, Model hash: 01e01ebb1d, zhongfenghua: 0.15>"", ADetailer model: face_yolov8s.pt, ADetailer steps: 30, ADetailer version: 23.9.3, Denoising strength: 0.3, ADetailer CFG scale: 7.0, ADetailer mask blur: 4, ADetailer checkpoint: 703majic.fp16.safetensors, ADetailer confidence: 0.5, ADetailer dilate/erode: 4, ADetailer inpaint padding: 32, ADetailer denoising strength: 0.35, ADetailer use separate steps: True, ADetailer inpaint only masked: True, ADetailer use separate CFG scale: True, ADetailer use separate checkpoint: True",
